description,biddable,startprice,condition,cellular,carrier,color,storage,productline,UniqueID,retailprice
like new,0,105,Used,1,AT&T,Unknown,32,iPad 1,11862,329
"Item is in great shape. I upgraded to the iPad Air 2 and don&#039;t need the mini any longer, even though ",0,195,Used,0,None,Unknown,16,iPad mini 2,11863,299
This iPad is working and is tested 100%. It runs great. It is in good condition. Cracked digitizer.,0,219.99,Used,0,None,Unknown,64,iPad 3,11864,349
,1,100,Used,0,None,Unknown,16,iPad mini,11865,209
Grade A condition means that the Ipad is 100% working condition. Cosmetically 8/9 out of 10 - Will ,0,210.99,Manufacturer refurbished,0,None,Black,32,iPad 3,11866,299
Brand new factory sealed iPad in an OPEN BOX...THE BOX ITSELF IS HEAVILY DISTRESSED(see ,0,514.95,New other (see details),0,None,Gold,64,iPad Air 2,11867,599
Good Condition! Fully Functional!,0,79.99,Seller refurbished,0,None,Black,32,iPad 1,11868,199
Clean iPad 4th generation,0,250,Used,0,None,Unknown,16,iPad 4,11869,299
Item has been professionally tested and inspected. Tests show that all features work correctly. This ,0,149.99,Used,0,None,Black,16,iPad 3,11870,249
,1,75,Used,0,None,Unknown,32,iPad 1,11871,199
Please read details below. Good working condition.  Home button doesn&#039;t feel right (it&#039;s &#034;softer&#034; ,0,145.49,Used,0,None,Unknown,16,iPad 2,11872,199
This iPad Mini 2 is gently used. The item shows very minor signs of use. Used less than 1 week. ,0,249,Used,1,AT&T,Space Gray,16,iPad mini 2,11873,429
"Screen is in excellent shape, no visible cracks or scratches.",0,153.95,Seller refurbished,0,None,Black,32,iPad 2,11874,249
,1,150,Used,1,AT&T,Black,64,iPad 3,11875,479
"it has two cracks on two corners, check pictures to see",0,274,Used,0,None,Unknown,32,iPad Air,11876,499
,1,250,Used,1,Unknown,Space Gray,128,iPad mini 2,11877,579
mint condition,1,250,Used,0,None,White,16,iPad Air,11878,399
,0,130,Used,0,None,Unknown,16,iPad 2,11879,199
,0,229.99,Used,1,Verizon,Unknown,32,iPad 3,11880,429
,1,289,Used,0,None,Space Gray,128,iPad mini 2,11881,449
"B - Stock. Seller refurbished &amp; in Very Good cosmetic condition. 100% Fully Functional, iCloud ",0,303.99,Seller refurbished,0,None,White,64,iPad 4,11882,399
,0,279.5,New,1,Verizon,Black,16,iPad mini,11883,309
Open Box Return (Excellent Physical Condition),0,239.99,New other (see details),0,None,Black,16,iPad 2,11884,199
,0,80,Used,0,None,Black,32,iPad 1,11885,199
,0,345,New,0,None,Gold,16,iPad mini 3,11886,399
"3 of 5. This item is used. The item shows average signs of wear and tear including scuff marks, ",0,239.99,Used,1,AT&T,Unknown,64,iPad 3,11887,479
,0,269.85,Seller refurbished,0,None,Black,16,iPad Air,11888,399
,0,280,New,0,None,White,16,Unknown,11889,299
We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ,0,212.99,Seller refurbished,0,None,Black,64,iPad mini,11890,299
,1,0.01,Seller refurbished,0,None,Unknown,64,iPad 4,11891,399
great working iPad 2,0,139,Used,0,None,White,16,iPad 2,11892,199
MINT CONDITION,1,250,Used,0,None,Black,16,iPad Air,11893,399
Overall Very Good Condition with minor wear on the outer casing and and minor scratches on the ,0,129.95,Used,0,None,Black,32,iPad 2,11894,249
,0,559,New other (see details),0,None,Gold,64,iPad Air 2,11895,599
Great condition! No cracks or damage to iPad.,0,499,Used,1,Unknown,Space Gray,16,iPad Air 2,11896,629
In excellent condition,0,245,Used,0,None,Unknown,16,iPad mini 2,11897,299
,0,250,Manufacturer refurbished,1,AT&T,Black,32,iPad 3,11898,429
Device is in AVERAGE used cosmetic condition with heavy scratches and wear.Device is in 100% working ,0,79.94,Used,0,None,Unknown,64,iPad 1,11899,249
,0,219.85,Seller refurbished,1,Unknown,Black,64,iPad 2,11900,429
"Very Good Condition. Flawless screen, only blemish is a small scratch in the bottom right-hand ",1,199.99,Used,0,None,White,16,iPad 4,11901,299
Brand new in sealed retail box.,1,199.99,New other (see details),0,None,Space Gray,64,iPad Air 2,11902,599
,0,295,Used,Unknown,Unknown,Unknown,Unknown,Unknown,11903,NA
â€œBEST BUY REFURB. Cosmetic condition is 8 of 10.SCREEN IS EXCELLENTâ€ù NOT IN ORIGINAL BOXâ€ùâ€ù,0,359.99,Manufacturer refurbished,0,None,Unknown,128,iPad Air,11904,699
"This item is Used &amp; in Heavily Used cosmetic condition - 100% Fully Functional, Clean IMEI &amp; iCloud, ",0,256.24,Seller refurbished,0,None,Space Gray,16,iPad Air,11905,399
,1,25,Used,1,AT&T,Unknown,16,iPad 1,11906,279
,0,299.99,Used,1,AT&T,Space Gray,16,iPad Air,11907,529
